Item ID,Name,Color,Size,SKU,Sale Date,Listing Amount,Sale Fees + Shipping,Net Sale,Purchase Subtotal,Purchase Tax,Purchase Shipping,Purchase Total,Profit,Sale Platform,Imported From
27616523,Nike Sportswear Tech Fleece Full-Zip Hoodie Black,Black,XXL,CU4489-010,01/25/2024,$78.00,$12.19,$65.81,$62.99,$0.00,$0.00,$62.99,$2.82,,manual
27588580,Nike Blazer Low 77 Vintage White Black,White/Sail-Black,10,DA6464-101/DA6364-101,01/25/2024,$59.00,$7.57,$51.43,$44.08,$0.00,$0.00,$44.08,$7.35,,manual
28090926,adidas Ultra Boost 5.0 DNA Triple Black,Core Black/Core Black/Beam Green,11,GV8745,01/25/2024,$179.00,$19.60,$159.40,$84.67,$0.00,$0.00,$84.67,$74.73,,upc_scan
27565335,Jordan 1 Mid Lucky Green,Lucky Green/Black/White,13,DQ8426-301,01/25/2024,$90.93,$0.00,$90.93,$70.33,$0.00,$0.00,$70.33,$20.60,Alias,spreadsheet
27906782,Nike LeBron 20 Miami Heat,Black/Black/University Red/University Gold/Light Smoke Grey,7.5,DJ5423-001/DJ5422-001,01/25/2024,$131.00,$14.55,$116.45,$99.99,$0.00,$0.00,$99.99,$16.46,,upc_scan
27565325,Jordan 1 Mid Lucky Green,Lucky Green/Black/White,11,DQ8426-301,01/25/2024,$80.00,$9.20,$70.80,$70.33,$0.00,$0.00,$70.33,$0.47,,spreadsheet
27906812,Nike ZoomX Vaporfly Next% 2 White Volt Racer Blue,White/Black-Volt-Racer Blue-Bright Crimson,11.5,CU4111-103,01/25/2024,$150.00,$16.56,$133.44,$97.97,$0.00,$0.00,$97.97,$35.47,,upc_scan
27565333,Jordan 1 Mid Lucky Green,Lucky Green/Black/White,12,DQ8426-301,01/26/2024,$78.00,$10.19,$67.81,$70.33,$0.00,$0.00,$70.33,-$2.52,,spreadsheet
28090936,adidas Ultra Boost 1.0 DNA Black,Core Black/Core Black/Beam Green,13,HQ4201,01/26/2024,$122.00,$14.81,$107.19,$84.67,$0.00,$0.00,$84.67,$22.52,,upc_scan
27565324,Jordan 1 Mid Lucky Green,Lucky Green/Black/White,11,DQ8426-301,01/26/2024,$79.00,$8.97,$70.03,$70.33,$0.00,$0.00,$70.33,-$0.30,,spreadsheet
27565389,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,9.5,DH2973-100,01/27/2024,$111.00,$12.32,$98.68,$77.15,$0.00,$0.00,$77.15,$21.53,,spreadsheet
27565431,Nike Air Max 90 Triple Red (2020),University Red/University Red-Black,9,CZ7918-600,01/27/2024,$93.00,$10.44,$82.56,$55.10,$0.00,$0.00,$55.10,$27.46,,spreadsheet
